"","member_id","name","username"
"988",316,"David Winnick","WinnickWalsallN"
"989",4635,"Edmund Hughes","EddieHughes4WN"
"990",4076,"Valerie Vaz","Valerie_VazMP"
"992",4088,"Stella Creasy","stellacreasy"
"994",4139,"Ian Lavery","IanLaveryMP"
"996",1580,"Ed Vaizey","edvaizey"
"998",318,"John Spellar","spellar"
"1000",432,"Helen Jones","HelenMaryCymru"
"1002",4670,"Mian Rashid","Faisal__Rashid"
"1003",4114,"Chris White","Chris_White_67"
"1004",4617,"Matthew Western","mattwestern_"
"1005",1521,"Sharon Hodgson","SharonHodgsonMP"
"1007",4068,"Richard Harrington","Richard4Watford"
"1009",4069,"Peter Aldous","peter_aldous"
"1011",4460,"Nusrat Ul-Ghani","nus_ghani"
"1013",4081,"Graham Evans","GrahamEvans"
"1014",4667,"Michael Amesbury","MikeAmesbury"
"1015",1581,"Peter Bone","PeterBoneUK"
"1017",4528,"James Heappey","jsheappey"
"1019",1582,"Grant Shapps","grantshapps"
"1021",400,"John Healey","JohnHealey_MP"
"1023",4601,"Andrew Bowie","AndrewBowie_MP"
"1024",4377,"Stuart Donaldson","stubdonaldson"
"1025",1463,"Thomas Watson","tom_watson"
"1027",320,"Adrian Bailey","AdrianBaileyWBW"
"1029",4374,"Martin Docherty-Hughes","MartinJDocherty"
"1031",1583,"Lyn Brown","lynbrownmp"
"1033",1538,"Rosemary Cooper","rosie4westlancs"
"1035",4070,"Matthew Hancock","matthancock"
"1037",4107,"Harriett Baldwin","hbaldwin"
"1039",199,"Karen Buck","KarenPBuckMP"
"1041",1591,"Timothy Farron","timfarron"
"1043",1584,"John Penrose","JohnPenroseNews"
"1045",4082,"Lisa Nandy","lisanandy"
"1047",1585,"Stephen Hammond","S_Hammond"
"1049",1586,"Adam Afriyie","AdamAfriyie"
"1051",4083,"Alison McGovern","Alison_McGovern"
"1053",4400,"Margaret Greenwood","mgreenwoodww"
"1055",4066,"Priti Patel","pritipatel"
"1057",1467,"David Cameron","David_Cameron"
"1058",4589,"Robert Courts","robertcourts"
"1060",4090,"Jonathan Lord","JonathanLord"
"1062",14,"John Redwood","johnredwood"
"1064",1587,"Patrick McFadden","patmcfaddenmp"
"1066",4091,"Robin Walker","walkerworcester"
"1068",4395,"Sue Hayman","SueHayman1"
"1070",1588,"Barbara Keeley","KeeleyMP"
"1072",117,"Peter Bottomley","PBottomleyMP"
"1074",1470,"Ian Lucas","IanCLucas"
"1076",4064,"Steven Baker","stevebakerhw"
"1078",1539,"Robert Wallace","BWallaceMP"
"1080",4074,"Mark Garnier","Mark4WyreForest"
"1082",4316,"Michael Kane","MikeKaneMP"
"1084",4446,"Marcus Fysh","marcusfysh"
"1086",1474,"Albert Owen","AlbertOwen2020"
"1088",4471,"Rachael Maskell","rachaelmaskell"
"1090",4079,"Julian Sturdy","JulianSturdy"
